car_park_no,address,latitude,longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
HG3A,BLK 997 BUANGKOK CRESCENT,1.3854226,103.88079,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N
HG3B,BLK 991 BUANGKOK LINK,1.3842998,103.88162,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
HG3C,BLK 996 BUANGKOK CRESCENT,1.3867766,103.882,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,15,2.15,N
HG3D,BLK 998 BUANGKOK CRESCENT,1.3842111,103.87968,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N
HG3E,BLK 993 BUANGKOK LINK,1.3851206,103.88366,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N
HG3L,"BLK 993A-993B, 994A-994C, 995A-995D, BUANGKOK CRESCENT/BUANGKOK LINK",1.3862096,103.88161,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,NO,0,0,N
HG4,BLK 19-23 HOUGANG AVE 3,1.3642304,103.89098,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
HG40,"BLK 1 TO 32, 37 TO 38 DEFU LANE 10",1.3521187,103.89208,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HG41,BLK 633-642 & 647-648 HOUGANG AVENUE 8,1.3712761,103.87935,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG42,BLK 643-646/649-662/665-667 HOUGANG AVENUE 8,1.374161,103.883415,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG43,BLK 668-680 HOUGANG AVENUE 8,1.3721131,103.88431,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
HG44,BLK 681-684 HOUGANG AVENUES 4/8,1.3736488,103.88633,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N
HG45,BLK 685-691 HOUGANG STREET 61,1.3759038,103.88613,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG46,BLK 692-698 HOUGANG STREET 61,1.3758578,103.88696,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG47,BLK 805 HOUGANG CENTRAL,1.3711841,103.89396,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,1.9,N
HG48,BLK 417-434 HOUGANG AVE 6/8/10,1.3754252,103.8941,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
HG49,BLK 435-458 HOUGANG AVE 6/8,1.3787934,103.89476,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG5,BLK 24/25 HOUGANG AVE 3,1.3653554,103.89231,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HG50,BLK 534-545 HOUGANG AVENUE 8,1.3773319,103.891335,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,2,N
HG51,BLK 546-555 HOUGANG STREET 51,1.378651,103.890114,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
HG52,BLK 556-566 HOUGANG STREET 51,1.3802826,103.889755,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
HG53,BLK 830A HOUGANG CENTRAL,1.3708718,103.8907,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,10,1.87,N
HG54,BLK 220-222 HOUGANG STREET 21,1.3566444,103.88435,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.86,N
HG55,BLK 814 HOUGANG AVENUE 10,1.3726834,103.89321,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N
HG56,BLK 830-835 HOUGANG CENTRAL,1.3712033,103.89012,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N
HG57,DEFU LANE 7,1.3553371,103.89695,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N
HG58,DEFU LANE 8,1.3571144,103.89672,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N
HG59,DEFU LANE 9,1.3508831,103.89332,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N
HG60,BLK 548A HOUGANG STREET 51,1.3790044,103.8912,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2,N
HG61,BLK 559A HOUGANG STREET 51,1.379654,103.88915,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,7,2,N
HG62,BLK 566A HOUGANG STREET 51,1.380827,103.88856,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,10,2,N
HG63,BLK 465A UPPER SERANGOON ROAD,1.3723576,103.89736,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2,N
HG64,BLK 682-684 HOUGANG STREET 61,1.3743412,103.8863,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N
HG65,DEFU LANE 11,1.3423065,103.89283,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N
HG66,DEFU LANE 12,1.3405868,103.89544,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N
HG67,"BLK 401-413, 460-463 HOUGANG AVENUE 10",1.3742926,103.89582,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG68,BLK 838A HOUGANG CENTRAL,1.3699244,103.89184,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N
HG69,BLK 850A HOUGANG CENTRAL,1.3699807,103.89297,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N
HG7,BLK 109-127 HOUGANG AVENUE 1,1.353653,103.8878,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG70,BLK 567A HOUGANG STREET 51,1.3789736,103.88851,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,10,2.15,N
HG71,BLK 574A HOUGANG STREET 51,1.3777027,103.886375,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N
HG72,BLK 576A HOUGANG AVENUE 4,1.3786243,103.88591,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
HG73,BLK 909A HOUGANG STREET 91,1.3783045,103.88355,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
HG74,BLK 166A HOUGANG AVENUE 1,1.3508202,103.88807,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
HG75,BLK 172A HOUGANG AVENUE 1,1.3505915,103.889,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
HG76,BLK 159A HOUGANG STREET 11,1.3518114,103.87947,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
HG77,BLK 919A HOUGANG AVENUE 4,1.3754542,103.88425,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N
HG78,BLK 925A HOUGANG STREET 91,1.3767756,103.88326,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N
HG79,BLK 931A HOUGANG STREET 91,1.3760481,103.88049,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,10,2.15,N
HG80,BLK 941A HOUGANG STREET 92,1.3741901,103.87907,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
HG81,DEFU LANE 1,1.3609273,103.899315,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N
HG82,DEFU LANE 2,1.3603688,103.902565,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N
HG83,DEFU LANE 3,1.358406,103.90206,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N
